Rate Plan Name,Device Name/Identifier,SKU / IMEI,,,,,,,,,,,,,,,,,,Phone Savings,MyTab Amount Max Limit,Trade In Promo Limit (Percentage),Offer Start Date,Offer End Date,,,,,,,,,,,,,,,,Description
Big Gig Unlimited + Talk 30GB + 5GB Canada-U.S,iPhone XR 64GB Blue,190198776518,,,,,,,,,,,,,,,,,,799,799,,20-11-2019 00:00:00,25-12-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 30GB + 5GB Canada-U.S,3PR - iPhone XR 64GB Black,629258107219,,,,,,,,,,,,,,,,,,799,799,,20-11-2019 00:00:00,25-12-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 30GB + 5GB Canada-U.S,3PR - iPhone XR 64GB White,629258107226,,,,,,,,,,,,,,,,,,799,799,,20-11-2019 00:00:00,25-12-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 30GB + 5GB Canada-U.S,Galaxy S10e 128GB Black,887276301280,,,,,,,,,,,,,,,,,,1020,1020,,25-07-2019 00:00:00,25-12-2019 00:00:00,,,,,,,,,,,,,,,,TBD
Big Gig Unlimited + Talk 30GB + 5GB Canada-U.S,Galaxy S10e 128GB White,887276313887,,,,,,,,,,,,,,,,,,1020,1020,,25-07-2019 00:00:00,25-12-2019 00:00:00,,,,,,,,,,,,,,,,TBD
Big Gig Unlimited + Talk 30GB + 5GB Canada-U.S,Galaxy S10e 128GB Blue,887276323121,,,,,,,,,,,,,,,,,,1020,1020,,25-07-2019 00:00:00,25-12-2019 00:00:00,,,,,,,,,,,,,,,,TBD
Big Gig Unlimited + Talk 30GB + 5GB Canada-U.S,3PR - Galaxy S10e 128GB Black,629258107271,,,,,,,,,,,,,,,,,,1020,1020,,25-07-2019 00:00:00,25-12-2019 00:00:00,,,,,,,,,,,,,,,,TBD
Big Gig Unlimited + Talk 30GB + 5GB Canada-U.S,3PR - Galaxy S10e 128GB White,629258107288,,,,,,,,,,,,,,,,,,1020,1020,,25-07-2019 00:00:00,25-12-2019 00:00:00,,,,,,,,,,,,,,,,TBD
Promo Everywhere 60 8GB,Samsung Galaxy A70 Black,887276342337,,,,,,,,,,,,,,,,,,600,600,,31-07-2019 00:00:00,30-12-9999 00:00:00,,,,,,,,,,,,,,,,Back to School 2019
Freedom Big Gig + Talk 10GB,Samsung Galaxy A70 Black,887276342337,,,,,,,,,,,,,,,,,,600,600,,31-07-2019 00:00:00,30-12-9999 00:00:00,,,,,,,,,,,,,,,,Back to School 2019
Big Gig Unlimited + Talk 15GB,Samsung Note 9 Blue,887276279916,,,,,,,,,,,,,,,,,,460,1300,,20-08-2019 00:00:00,22-11-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,Samsung Note 9 Black,887276270173,,,,,,,,,,,,,,,,,,460,1300,,20-08-2019 00:00:00,22-11-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,3PR - Samsung Note 9 Black,629258107127,,,,,,,,,,,,,,,,,,460,1300,,20-08-2019 00:00:00,22-11-2019 00:00:00,,,,,,,,,,,,,,,,NA
