Tab Rate Plan Group,Device Name/Identifier,SKU / IMEI,,,,,,,,,,,,,,,,,,Phone Savings,MyTab Amount Max Limit,Trade In Promo Limit (Percentage),,,,,,,,,,,,,,,,,,Device Description
Group 4b,iPhone XS Max 256GB Gold,190198786135,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 5,iPhone XS Max 256GB Gold,190198786135,,,,,,,,,,,,,,,,,,649,1729,,,,,,,,,,,,,,,,,,,
Group 5a,iPhone XS Max 256GB Gold,190198786135,,,,,,,,,,,,,,,,,,649,1729,,,,,,,,,,,,,,,,,,,
Group 6,iPhone XS Max 256GB Gold,190198786135,,,,,,,,,,,,,,,,,,769,1729,,,,,,,,,,,,,,,,,,,
Group 7,iPhone XS Max 256GB Gold,190198786135,,,,,,,,,,,,,,,,,,1009,1729,,,,,,,,,,,,,,,,,,,
Group 8,iPhone XS Max 256GB Gold,190198786135,,,,,,,,,,,,,,,,,,1489,1729,,,,,,,,,,,,,,,,,,,
Group 1_1,iPhone XS 256GB Space Grey,190198790521,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 2,iPhone XS 256GB Space Grey,190198790521,,,,,,,,,,,,,,,,,,100,700,,,,,,,,,,,,,,,,,,,
Group 3,iPhone XS 256GB Space Grey,190198790521,,,,,,,,,,,,,,,,,,100,940,,,,,,,,,,,,,,,,,,,
Group 4,iPhone XS 256GB Space Grey,190198790521,,,,,,,,,,,,,,,,,,100,940,,,,,,,,,,,,,,,,,,,
Group 4a,iPhone XS 256GB Space Grey,190198790521,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,iPhone XS 256GB Space Grey,190198790521,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 5,iPhone XS 256GB Space Grey,190198790521,,,,,,,,,,,,,,,,,,629,1589,,,,,,,,,,,,,,,,,,,
Group 5a,iPhone XS 256GB Space Grey,190198790521,,,,,,,,,,,,,,,,,,629,1589,,,,,,,,,,,,,,,,,,,
Group 6,iPhone XS 256GB Space Grey,190198790521,,,,,,,,,,,,,,,,,,749,1589,,,,,,,,,,,,,,,,,,,
Group 7,iPhone XS 256GB Space Grey,190198790521,,,,,,,,,,,,,,,,,,989,1589,,,,,,,,,,,,,,,,,,,
Group 8,iPhone XS 256GB Space Grey,190198790521,,,,,,,,,,,,,,,,,,1469,1589,,,,,,,,,,,,,,,,,,,
Group 1_1,iPhone XS 256GB Silver,190198790569,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 2,iPhone XS 256GB Silver,190198790569,,,,,,,,,,,,,,,,,,100,700,,,,,,,,,,,,,,,,,,,
Group 3,iPhone XS 256GB Silver,190198790569,,,,,,,,,,,,,,,,,,100,940,,,,,,,,,,,,,,,,,,,
Group 4,iPhone XS 256GB Silver,190198790569,,,,,,,,,,,,,,,,,,100,940,,,,,,,,,,,,,,,,,,,
Group 4a,iPhone XS 256GB Silver,190198790569,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,iPhone XS 256GB Silver,190198790569,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 5,iPhone XS 256GB Silver,190198790569,,,,,,,,,,,,,,,,,,629,1589,,,,,,,,,,,,,,,,,,,
Group 5a,iPhone XS 256GB Silver,190198790569,,,,,,,,,,,,,,,,,,629,1589,,,,,,,,,,,,,,,,,,,
Group 6,iPhone XS 256GB Silver,190198790569,,,,,,,,,,,,,,,,,,749,1589,,,,,,,,,,,,,,,,,,,
Group 7,iPhone XS 256GB Silver,190198790569,,,,,,,,,,,,,,,,,,989,1589,,,,,,,,,,,,,,,,,,,
Group 8,iPhone XS 256GB Silver,190198790569,,,,,,,,,,,,,,,,,,1469,1589,,,,,,,,,,,,,,,,,,,
Group 1_1,iPhone XS 256GB Gold,190198790606,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 2,iPhone XS 256GB Gold,190198790606,,,,,,,,,,,,,,,,,,100,700,,,,,,,,,,,,,,,,,,,
Group 3,iPhone XS 256GB Gold,190198790606,,,,,,,,,,,,,,,,,,100,940,,,,,,,,,,,,,,,,,,,
Group 4,iPhone XS 256GB Gold,190198790606,,,,,,,,,,,,,,,,,,100,940,,,,,,,,,,,,,,,,,,,
Group 4a,iPhone XS 256GB Gold,190198790606,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,iPhone XS 256GB Gold,190198790606,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 5,iPhone XS 256GB Gold,190198790606,,,,,,,,,,,,,,,,,,629,1589,,,,,,,,,,,,,,,,,,,
Group 5a,iPhone XS 256GB Gold,190198790606,,,,,,,,,,,,,,,,,,629,1589,,,,,,,,,,,,,,,,,,,
Group 6,iPhone XS 256GB Gold,190198790606,,,,,,,,,,,,,,,,,,749,1589,,,,,,,,,,,,,,,,,,,
Group 7,iPhone XS 256GB Gold,190198790606,,,,,,,,,,,,,,,,,,989,1589,,,,,,,,,,,,,,,,,,,
Group 8,iPhone XS 256GB Gold,190198790606,,,,,,,,,,,,,,,,,,1469,1589,,,,,,,,,,,,,,,,,,,
Group 1_1,iPhone X 256GB Space Grey,190198458322,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 2,iPhone X 256GB Space Grey,190198458322,,,,,,,,,,,,,,,,,,100,700,,,,,,,,,,,,,,,,,,,
Group 3,iPhone X 256GB Space Grey,190198458322,,,,,,,,,,,,,,,,,,100,940,,,,,,,,,,,,,,,,,,,
Group 4,iPhone X 256GB Space Grey,190198458322,,,,,,,,,,,,,,,,,,100,940,,,,,,,,,,,,,,,,,,,
Group 4a,iPhone X 256GB Space Grey,190198458322,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,iPhone X 256GB Space Grey,190198458322,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 5,iPhone X 256GB Space Grey,190198458322,,,,,,,,,,,,,,,,,,280,880,,,,,,,,,,,,,,,,,,,
Group 5a,iPhone X 256GB Space Grey,190198458322,,,,,,,,,,,,,,,,,,280,880,,,,,,,,,,,,,,,,,,,
Group 6,iPhone X 256GB Space Grey,190198458322,,,,,,,,,,,,,,,,,,280,1120,,,,,,,,,,,,,,,,,,,
Group 7,iPhone X 256GB Space Grey,190198458322,,,,,,,,,,,,,,,,,,569,1529,,,,,,,,,,,,,,,,,,,
Group 8,iPhone X 256GB Space Grey,190198458322,,,,,,,,,,,,,,,,,,569,1529,,,,,,,,,,,,,,,,,,,
Group 1_1,iPhone X 256GB Silver,190198458681,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 2,iPhone X 256GB Silver,190198458681,,,,,,,,,,,,,,,,,,100,700,,,,,,,,,,,,,,,,,,,
Group 3,iPhone X 256GB Silver,190198458681,,,,,,,,,,,,,,,,,,100,940,,,,,,,,,,,,,,,,,,,
Group 4,iPhone X 256GB Silver,190198458681,,,,,,,,,,,,,,,,,,100,940,,,,,,,,,,,,,,,,,,,
Group 4a,iPhone X 256GB Silver,190198458681,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,iPhone X 256GB Silver,190198458681,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 5,iPhone X 256GB Silver,190198458681,,,,,,,,,,,,,,,,,,280,880,,,,,,,,,,,,,,,,,,,
Group 5a,iPhone X 256GB Silver,190198458681,,,,,,,,,,,,,,,,,,280,880,,,,,,,,,,,,,,,,,,,
Group 6,iPhone X 256GB Silver,190198458681,,,,,,,,,,,,,,,,,,280,1120,,,,,,,,,,,,,,,,,,,
Group 7,iPhone X 256GB Silver,190198458681,,,,,,,,,,,,,,,,,,569,1529,,,,,,,,,,,,,,,,,,,
Group 8,iPhone X 256GB Silver,190198458681,,,,,,,,,,,,,,,,,,569,1529,,,,,,,,,,,,,,,,,,,
Group 1_1,iPhone XS Max 64GB Space Grey,190198786036,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 2,iPhone XS Max 64GB Space Grey,190198786036,,,,,,,,,,,,,,,,,,100,700,,,,,,,,,,,,,,,,,,,
Group 3,iPhone XS Max 64GB Space Grey,190198786036,,,,,,,,,,,,,,,,,,100,940,,,,,,,,,,,,,,,,,,,
Group 4,iPhone XS Max 64GB Space Grey,190198786036,,,,,,,,,,,,,,,,,,100,820,,,,,,,,,,,,,,,,,,,
Group 4a,iPhone XS Max 64GB Space Grey,190198786036,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,iPhone XS Max 64GB Space Grey,190198786036,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 5,iPhone XS Max 64GB Space Grey,190198786036,,,,,,,,,,,,,,,,,,679,1519,,,,,,,,,,,,,,,,,,,
Group 5a,iPhone XS Max 64GB Space Grey,190198786036,,,,,,,,,,,,,,,,,,679,1519,,,,,,,,,,,,,,,,,,,
Group 6,iPhone XS Max 64GB Space Grey,190198786036,,,,,,,,,,,,,,,,,,750,1470,,,,,,,,,,,,,,,,,,,
Group 7,iPhone XS Max 64GB Space Grey,190198786036,,,,,,,,,,,,,,,,,,1039,1519,,,,,,,,,,,,,,,,,,,
Group 8,iPhone XS Max 64GB Space Grey,190198786036,,,,,,,,,,,,,,,,,,1399,1519,,,,,,,,,,,,,,,,,,,
Group 1_1,iPhone XS Max 64GB Silver,190198786050,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 2,iPhone XS Max 64GB Silver,190198786050,,,,,,,,,,,,,,,,,,100,700,,,,,,,,,,,,,,,,,,,
Group 3,iPhone XS Max 64GB Silver,190198786050,,,,,,,,,,,,,,,,,,100,940,,,,,,,,,,,,,,,,,,,
Group 4,iPhone XS Max 64GB Silver,190198786050,,,,,,,,,,,,,,,,,,100,820,,,,,,,,,,,,,,,,,,,
Group 4a,iPhone XS Max 64GB Silver,190198786050,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,iPhone XS Max 64GB Silver,190198786050,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 5,iPhone XS Max 64GB Silver,190198786050,,,,,,,,,,,,,,,,,,679,1519,,,,,,,,,,,,,,,,,,,
Group 5a,iPhone XS Max 64GB Silver,190198786050,,,,,,,,,,,,,,,,,,679,1519,,,,,,,,,,,,,,,,,,,
Group 6,iPhone XS Max 64GB Silver,190198786050,,,,,,,,,,,,,,,,,,750,1470,,,,,,,,,,,,,,,,,,,
Group 7,iPhone XS Max 64GB Silver,190198786050,,,,,,,,,,,,,,,,,,1039,1519,,,,,,,,,,,,,,,,,,,
Group 8,iPhone XS Max 64GB Silver,190198786050,,,,,,,,,,,,,,,,,,1399,1519,,,,,,,,,,,,,,,,,,,
Group 1_1,iPhone XS Max 64GB Gold,190198786074,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 2,iPhone XS Max 64GB Gold,190198786074,,,,,,,,,,,,,,,,,,100,700,,,,,,,,,,,,,,,,,,,
Group 3,iPhone XS Max 64GB Gold,190198786074,,,,,,,,,,,,,,,,,,100,940,,,,,,,,,,,,,,,,,,,
Group 4,iPhone XS Max 64GB Gold,190198786074,,,,,,,,,,,,,,,,,,100,820,,,,,,,,,,,,,,,,,,,
Group 4a,iPhone XS Max 64GB Gold,190198786074,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,iPhone XS Max 64GB Gold,190198786074,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 5,iPhone XS Max 64GB Gold,190198786074,,,,,,,,,,,,,,,,,,679,1519,,,,,,,,,,,,,,,,,,,
Group 5a,iPhone XS Max 64GB Gold,190198786074,,,,,,,,,,,,,,,,,,679,1519,,,,,,,,,,,,,,,,,,,
Group 6,iPhone XS Max 64GB Gold,190198786074,,,,,,,,,,,,,,,,,,750,1470,,,,,,,,,,,,,,,,,,,
Group 7,iPhone XS Max 64GB Gold,190198786074,,,,,,,,,,,,,,,,,,1039,1519,,,,,,,,,,,,,,,,,,,
Group 8,iPhone XS Max 64GB Gold,190198786074,,,,,,,,,,,,,,,,,,1399,1519,,,,,,,,,,,,,,,,,,,
Group 1_1,iPhone XS 64GB Space Grey,190198790408,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 2,iPhone XS 64GB Space Grey,190198790408,,,,,,,,,,,,,,,,,,100,700,,,,,,,,,,,,,,,,,,,
Group 3,iPhone XS 64GB Space Grey,190198790408,,,,,,,,,,,,,,,,,,100,940,,,,,,,,,,,,,,,,,,,
Group 4,iPhone XS 64GB Space Grey,190198790408,,,,,,,,,,,,,,,,,,100,700,,,,,,,,,,,,,,,,,,,
Group 4a,iPhone XS 64GB Space Grey,190198790408,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
Group 4b,iPhone XS 64GB Space Grey,190198790408,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 5,iPhone XS 64GB Space Grey,190198790408,,,,,,,,,,,,,,,,,,659,1379,,,,,,,,,,,,,,,,,,,
Group 5a,iPhone XS 64GB Space Grey,190198790408,,,,,,,,,,,,,,,,,,659,1379,,,,,,,,,,,,,,,,,,,
Group 6,iPhone XS 64GB Space Grey,190198790408,,,,,,,,,,,,,,,,,,779,1379,,,,,,,,,,,,,,,,,,,
Group 7,iPhone XS 64GB Space Grey,190198790408,,,,,,,,,,,,,,,,,,1019,1379,,,,,,,,,,,,,,,,,,,
Group 8,iPhone XS 64GB Space Grey,190198790408,,,,,,,,,,,,,,,,,,1379,1379,,,,,,,,,,,,,,,,,,,
Group 1_1,iPhone XS 64GB Silver,190198790446,,,,,,,,,,,,,,,,,,0,480,,,,,,,,,,,,,,,,,,,
Group 2,iPhone XS 64GB Silver,190198790446,,,,,,,,,,,,,,,,,,100,700,,,,,,,,,,,,,,,,,,,
Group 3,iPhone XS 64GB Silver,190198790446,,,,,,,,,,,,,,,,,,100,940,,,,,,,,,,,,,,,,,,,
Group 4,iPhone XS 64GB Silver,190198790446,,,,,,,,,,,,,,,,,,100,700,,,,,,,,,,,,,,,,,,,
Group 4a,iPhone XS 64GB Silver,190198790446,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
